text,sentiment
I love this product, it works perfectly!	positive
The product is okay, nothing special.	neutral
Average quality, expected better.	neutral
Amazing experience, will definitely recommend.	positive
It's fine, works as described.	neutral
Customer service was rude and unhelpful.	negative
It's fine, works as described.	neutral
Average quality, expected better.	neutral
This made my day, fantastic!	positive
Customer service was rude and unhelpful.	negative
It's fine, works as described.	neutral
This made my day, fantastic!	positive
I love this product, it works perfectly!	positive
This made my day, fantastic!	positive
It's fine, works as described.	neutral
Neither good nor bad, just neutral.	neutral
The product is okay, nothing special.	neutral
So happy with the service, totally satisfied.	positive
I hate this, completely useless.	negative
I hate this, completely useless.	negative
Average quality, expected better.	neutral
It's fine, works as described.	neutral
Amazing experience, will definitely recommend.	positive
Customer service was rude and unhelpful.	negative
Very bad experience, not happy at all.	negative
The product is okay, nothing special.	neutral
Customer service was rude and unhelpful.	negative
Amazing experience, will definitely recommend.	positive
The product is okay, nothing special.	neutral
Customer service was rude and unhelpful.	negative
I love this product, it works perfectly!	positive
Not bad, but could be improved.	neutral
Excellent quality and fast delivery.	positive
Amazing experience, will definitely recommend.	positive
Customer service was rude and unhelpful.	negative
It's fine, works as described.	neutral
I love this product, it works perfectly!	positive
Amazing experience, will definitely recommend.	positive
Very bad experience, not happy at all.	negative
Worst purchase I have ever made.	negative
Neither good nor bad, just neutral.	neutral
Amazing experience, will definitely recommend.	positive
The product broke after one use, terrible quality.	negative
I love this product, it works perfectly!	positive
It's fine, works as described.	neutral
Amazing experience, will definitely recommend.	positive
The product broke after one use, terrible quality.	negative
Not bad, but could be improved.	neutral
I love this product, it works perfectly!	positive
Very bad experience, not happy at all.	negative
The product is okay, nothing special.	neutral
The product is okay, nothing special.	neutral
Excellent quality and fast delivery.	positive
It's fine, works as described.	neutral
Very bad experience, not happy at all.	negative
Neither good nor bad, just neutral.	neutral
Worst purchase I have ever made.	negative
The product is okay, nothing special.	neutral
This made my day, fantastic!	positive
Worst purchase I have ever made.	negative
Worst purchase I have ever made.	negative
It's fine, works as described.	neutral
Customer service was rude and unhelpful.	negative
Very bad experience, not happy at all.	negative
Not bad, but could be improved.	neutral
I hate this, completely useless.	negative
I hate this, completely useless.	negative
Amazing experience, will definitely recommend.	positive
It's fine, works as described.	neutral
Customer service was rude and unhelpful.	negative
It's fine, works as described.	neutral
It's fine, works as described.	neutral
It's fine, works as described.	neutral
Amazing experience, will definitely recommend.	positive
It's fine, works as described.	neutral
Neither good nor bad, just neutral.	neutral
The product is okay, nothing special.	neutral
Neither good nor bad, just neutral.	neutral
I love this product, it works perfectly!	positive
Very bad experience, not happy at all.	negative
Average quality, expected better.	neutral
Worst purchase I have ever made.	negative
It's fine, works as described.	neutral
The product is okay, nothing special.	neutral
This made my day, fantastic!	positive
The product is okay, nothing special.	neutral
Customer service was rude and unhelpful.	negative
It's fine, works as described.	neutral
The product is okay, nothing special.	neutral
